"provincia_nombre","apellido","ranking","porcentaje_poblacion_portadora","provincia_id"
"Buenos Aires","GONZÁLEZ",1,1.72,6
"Buenos Aires","RODRÍGUEZ",2,1.326,6
"Buenos Aires","GÓMEZ",3,1.219,6
"Buenos Aires","FERNÁNDEZ",4,1.147,6
"Buenos Aires","LÓPEZ",5,1.092,6
"Buenos Aires","MARTÍNEZ",6,1.013,6
"Buenos Aires","DÍAZ",7,0.852,6
"Buenos Aires","GARCÍA",8,0.794,6
"Buenos Aires","PÉREZ",9,0.771,6
"Buenos Aires","SÁNCHEZ",10,0.713,6
"Buenos Aires","ROMERO",11,0.688,6
"Buenos Aires","BENÍTEZ",12,0.592,6
"Buenos Aires","SOSA",13,0.496,6
"Buenos Aires","RAMÍREZ",14,0.496,6
"Buenos Aires","RUIZ",15,0.474,6
"Buenos Aires","ÁLVAREZ",16,0.472,6
"Buenos Aires","TORRES",17,0.44,6
"Buenos Aires","ACOSTA",18,0.436,6
"Buenos Aires","ROJAS",19,0.416,6
"Buenos Aires","MEDINA",20,0.407,6
"Catamarca","CARRIZO",1,1.986,10
"Catamarca","DÍAZ",2,1.549,10
"Catamarca","ROMERO",3,1.513,10
"Catamarca","RODRÍGUEZ",4,1.399,10
"Catamarca","HERRERA",5,1.364,10
"Catamarca","NIEVA",6,1.223,10
"Catamarca","BARRIONUEVO",7,1.062,10
"Catamarca","GONZÁLEZ",8,0.981,10
"Catamarca","GÓMEZ",9,0.962,10
"Catamarca","VEGA",10,0.951,10
"Catamarca","MORENO",11,0.861,10
"Catamarca","CÓRDOBA",12,0.829,10
"Catamarca","BAZÁN",13,0.805,10
"Catamarca","LÓPEZ",14,0.777,10
"Catamarca","GUTIÉRREZ",15,0.775,10
"Catamarca","QUIROGA",16,0.714,10
"Catamarca","SORIA",17,0.692,10
"Catamarca","CASTRO",18,0.679,10
"Catamarca","ÁLVAREZ",19,0.642,10
"Catamarca","MARTÍNEZ",20,0.639,10
"Chaco","GÓMEZ",1,2.716,22
"Chaco","GONZÁLEZ",2,2.204,22
"Chaco","FERNÁNDEZ",3,1.812,22
"Chaco","ROMERO",4,1.615,22
"Chaco","LÓPEZ",5,1.579,22
"Chaco","SÁNCHEZ",6,1.317,22
"Chaco","RAMÍREZ",7,1.243,22
"Chaco","MARTÍNEZ",8,0.962,22
"Chaco","AGUIRRE",9,0.956,22
"Chaco","RODRÍGUEZ",10,0.956,22
"Chaco","BENÍTEZ",11,0.877,22
"Chaco","DÍAZ",12,0.877,22
"Chaco","SOSA",13,0.839,22
"Chaco","PÉREZ",14,0.81,22
"Chaco","RUIZ",15,0.736,22
"Chaco","OJEDA",16,0.735,22
"Chaco","GARCÍA",17,0.722,22
"Chaco","ACOSTA",18,0.687,22
"Chaco","MEDINA",19,0.683,22
"Chaco","BARRIOS",20,0.618,22
"Chubut","GONZÁLEZ",1,1.479,26
"Chubut","DÍAZ",2,1.006,26
"Chubut","RODRÍGUEZ",3,0.957,26
"Chubut","FERNÁNDEZ",4,0.834,26
"Chubut","LÓPEZ",5,0.801,26
"Chubut","MARTÍNEZ",6,0.794,26
"Chubut","PÉREZ",7,0.767,26
"Chubut","GARCÍA",8,0.745,26
"Chubut","GÓMEZ",9,0.671,26
"Chubut","MUÑOZ",10,0.589,26
"Chubut","SÁNCHEZ",11,0.567,26
"Chubut","SOTO",12,0.551,26
"Chubut","VARGAS",13,0.538,26
"Chubut","MANSILLA",14,0.525,26
"Chubut","HERNÁNDEZ",15,0.522,26
"Chubut","ÁLVAREZ",16,0.506,26
"Chubut","FLORES",17,0.478,26
"Chubut","TORRES",18,0.472,26
"Chubut","ROMERO",19,0.418,26
"Chubut","MORALES",20,0.405,26
"Ciudad Autónoma de Buenos Aires","GONZÁLEZ",1,1.281,2
"Ciudad Autónoma de Buenos Aires","RODRÍGUEZ",2,1.206,2
"Ciudad Autónoma de Buenos Aires","FERNÁNDEZ",3,1.058,2
"Ciudad Autónoma de Buenos Aires","LÓPEZ",4,0.965,2
"Ciudad Autónoma de Buenos Aires","GARCÍA",5,0.888,2
"Ciudad Autónoma de Buenos Aires","MARTÍNEZ",6,0.847,2
"Ciudad Autónoma de Buenos Aires","PÉREZ",7,0.693,2
"Ciudad Autónoma de Buenos Aires","GÓMEZ",8,0.692,2
"Ciudad Autónoma de Buenos Aires","SÁNCHEZ",9,0.577,2
"Ciudad Autónoma de Buenos Aires","DÍAZ",10,0.577,2
"Ciudad Autónoma de Buenos Aires","ÁLVAREZ",11,0.45,2
"Ciudad Autónoma de Buenos Aires","ROMERO",12,0.42,2
"Ciudad Autónoma de Buenos Aires","FLORES",13,0.372,2
"Ciudad Autónoma de Buenos Aires","RAMÍREZ",14,0.35,2
"Ciudad Autónoma de Buenos Aires","MAMANI",15,0.345,2
"Ciudad Autónoma de Buenos Aires","BENÍTEZ",16,0.339,2
"Ciudad Autónoma de Buenos Aires","ROJAS",17,0.337,2
"Ciudad Autónoma de Buenos Aires","RUIZ",18,0.322,2
"Ciudad Autónoma de Buenos Aires","TORRES",19,0.316,2
"Ciudad Autónoma de Buenos Aires","GUTIÉRREZ",20,0.312,2
"Córdoba","GONZÁLEZ",1,1.386,14
"Córdoba","RODRÍGUEZ",2,1.288,14
"Córdoba","LÓPEZ",3,1.1,14
"Córdoba","DÍAZ",4,0.999,14
"Córdoba","GÓMEZ",5,0.929,14
"Córdoba","MARTÍNEZ",6,0.833,14
"Córdoba","SÁNCHEZ",7,0.813,14
"Córdoba","ROMERO",8,0.804,14
"Córdoba","FERNÁNDEZ",9,0.753,14
"Córdoba","PÉREZ",10,0.741,14
"Córdoba","PEREYRA",11,0.62,14
"Córdoba","TORRES",12,0.587,14
"Córdoba","PERALTA",13,0.58,14
"Córdoba","GARCÍA",14,0.556,14
"Córdoba","FERREYRA",15,0.553,14
"Córdoba","SOSA",16,0.541,14
"Córdoba","MOLINA",17,0.522,14
"Córdoba","BUSTOS",18,0.481,14
"Córdoba","ÁLVAREZ",19,0.471,14
"Córdoba","MOYANO",20,0.455,14
"Corrientes","GÓMEZ",1,2.727,18
"Corrientes","FERNÁNDEZ",2,2.384,18
"Corrientes","GONZÁLEZ",3,2.277,18
"Corrientes","ROMERO",4,2.267,18
"Corrientes","RAMÍREZ",5,1.638,18
"Corrientes","LÓPEZ",6,1.472,18
"Corrientes","BENÍTEZ",7,1.348,18
"Corrientes","RODRÍGUEZ",8,1.302,18
"Corrientes","SÁNCHEZ",9,1.243,18
"Corrientes","AGUIRRE",10,1.167,18
"Corrientes","OJEDA",11,1.059,18
"Corrientes","MARTÍNEZ",12,1.015,18
"Corrientes","SOSA",13,0.853,18
"Corrientes","MAIDANA",14,0.805,18
"Corrientes","VALLEJOS",15,0.782,18
"Corrientes","ALEGRE",16,0.753,18
"Corrientes","BARRIOS",17,0.712,18
"Corrientes","AYALA",18,0.692,18
"Corrientes","PÉREZ",19,0.688,18
"Corrientes","CARDOZO",20,0.67,18
"Entre Ríos","GONZÁLEZ",1,1.816,30
"Entre Ríos","MARTÍNEZ",2,1.42,30
"Entre Ríos","RODRÍGUEZ",3,1.304,30
"Entre Ríos","GÓMEZ",4,1.212,30
"Entre Ríos","FERNÁNDEZ",5,0.946,30
"Entre Ríos","LÓPEZ",6,0.919,30
"Entre Ríos","BENÍTEZ",7,0.863,30
"Entre Ríos","ROMERO",8,0.844,30
"Entre Ríos","PÉREZ",9,0.743,30
"Entre Ríos","GARCÍA",10,0.684,30
"Entre Ríos","DÍAZ",11,0.66,30
"Entre Ríos","SÁNCHEZ",12,0.659,30
"Entre Ríos","GODOY",13,0.64,30
"Entre Ríos","RAMÍREZ",14,0.635,30
"Entre Ríos","ACOSTA",15,0.532,30
"Entre Ríos","GIMÉNEZ",16,0.53,30
"Entre Ríos","SOSA",17,0.464,30
"Entre Ríos","RIOS",18,0.462,30
"Entre Ríos","RUIZ",19,0.449,30
"Entre Ríos","CABRERA",20,0.441,30
"Formosa","GONZÁLEZ",1,2.581,34
"Formosa","GÓMEZ",2,2.04,34
"Formosa","BENÍTEZ",3,1.543,34
"Formosa","MARTÍNEZ",4,1.429,34
"Formosa","FERNÁNDEZ",5,1.426,34
"Formosa","LÓPEZ",6,1.244,34
"Formosa","ROMERO",7,1.041,34
"Formosa","RUIZ",8,1.041,34
"Formosa","GIMÉNEZ",9,1.036,34
"Formosa","RAMÍREZ",10,0.991,34
"Formosa","ROJAS",11,0.948,34
"Formosa","PÉREZ",12,0.936,34
"Formosa","TORRES",13,0.917,34
"Formosa","SÁNCHEZ",14,0.896,34
"Formosa","ACOSTA",15,0.872,34
"Formosa","DÍAZ",16,0.858,34
"Formosa","AYALA",17,0.845,34
"Formosa","SOSA",18,0.799,34
"Formosa","VILLALBA",19,0.795,34
"Formosa","GARCÍA",20,0.775,34
"Jujuy","MAMANI",1,2.219,38
"Jujuy","CRUZ",2,2.218,38
"Jujuy","FLORES",3,1.919,38
"Jujuy","MARTÍNEZ",4,1.347,38
"Jujuy","GUTIÉRREZ",5,1.274,38
"Jujuy","RODRÍGUEZ",6,1.179,38
"Jujuy","LÓPEZ",7,1.154,38
"Jujuy","QUISPE",8,0.974,38
"Jujuy","DÍAZ",9,0.876,38
"Jujuy","FERNÁNDEZ",10,0.848,38
"Jujuy","GONZÁLEZ",11,0.847,38
"Jujuy","RAMOS",12,0.842,38
"Jujuy","TOLABA",13,0.836,38
"Jujuy","VARGAS",14,0.783,38
"Jujuy","SÁNCHEZ",15,0.724,38
"Jujuy","FARFÁN",16,0.657,38
"Jujuy","CONDORI",17,0.653,38
"Jujuy","ROMERO",18,0.632,38
"Jujuy","CARDOZO",19,0.618,38
"Jujuy","TORRES",20,0.616,38
"La Pampa","RODRÍGUEZ",1,1.466,42
"La Pampa","GONZÁLEZ",2,1.308,42
"La Pampa","FERNÁNDEZ",3,1.159,42
"La Pampa","PÉREZ",4,1.134,42
"La Pampa","GARCÍA",5,1.087,42
"La Pampa","DÍAZ",6,0.966,42
"La Pampa","LÓPEZ",7,0.925,42
"La Pampa","GÓMEZ",8,0.905,42
"La Pampa","MARTÍNEZ",9,0.842,42
"La Pampa","SOSA",10,0.703,42
"La Pampa","LUCERO",11,0.662,42
"La Pampa","ÁLVAREZ",12,0.631,42
"La Pampa","SÁNCHEZ",13,0.621,42
"La Pampa","TORRES",14,0.537,42
"La Pampa","GIMÉNEZ",15,0.463,42
"La Pampa","ROMERO",16,0.458,42
"La Pampa","DOMÍNGUEZ",17,0.446,42
"La Pampa","MUÑOZ",18,0.438,42
"La Pampa","SUÁREZ",19,0.418,42
"La Pampa","MIRANDA",20,0.385,42
"La Rioja","DÍAZ",1,2.505,46
"La Rioja","ROMERO",2,1.918,46
"La Rioja","GONZÁLEZ",3,1.78,46
"La Rioja","PÁEZ",4,1.563,46
"La Rioja","HERRERA",5,1.391,46
"La Rioja","CARRIZO",6,1.344,46
"La Rioja","RODRÍGUEZ",7,1.313,46
"La Rioja","FLORES",8,1.263,46
"La Rioja","MERCADO",9,1.248,46
"La Rioja","MORENO",10,1.234,46
"La Rioja","GÓMEZ",11,1.042,46
"La Rioja","NIETO",12,1.007,46
"La Rioja","VEGA",13,0.964,46
"La Rioja","LUNA",14,0.917,46
"La Rioja","ÁVILA",15,0.903,46
"La Rioja","CASTRO",16,0.867,46
"La Rioja","MOLINA",17,0.863,46
"La Rioja","BRIZUELA",18,0.854,46
"La Rioja","TORRES",19,0.844,46
"La Rioja","FERNÁNDEZ",20,0.821,46
"Mendoza","GONZÁLEZ",1,1.634,50
"Mendoza","RODRÍGUEZ",2,1.187,50
"Mendoza","MARTÍNEZ",3,1.136,50
"Mendoza","FERNÁNDEZ",4,1.071,50
"Mendoza","PÉREZ",5,0.971,50
"Mendoza","DÍAZ",6,0.945,50
"Mendoza","GÓMEZ",7,0.911,50
"Mendoza","LÓPEZ",8,0.871,50
"Mendoza","SOSA",9,0.835,50
"Mendoza","GARCÍA",10,0.8,50
"Mendoza","LUCERO",11,0.779,50
"Mendoza","SÁNCHEZ",12,0.749,50
"Mendoza","QUIROGA",13,0.74,50
"Mendoza","MORALES",14,0.681,50
"Mendoza","FLORES",15,0.64,50
"Mendoza","CASTRO",16,0.614,50
"Mendoza","TORRES",17,0.585,50
"Mendoza","MUÑOZ",18,0.559,50
"Mendoza","ORTIZ",19,0.492,50
"Mendoza","VIDELA",20,0.492,50
"Misiones","RODRÍGUEZ",1,2.066,54
"Misiones","GONZÁLEZ",2,2.025,54
"Misiones","BENÍTEZ",3,1.682,54
"Misiones","MARTÍNEZ",4,1.298,54
"Misiones","LÓPEZ",5,1.22,54
"Misiones","GÓMEZ",6,1.145,54
"Misiones","FERNÁNDEZ",7,1.08,54
